Ano,Código da Área,Área de Avaliação,Código da IES,Nome da IES,Categoria Administrativa,Modalidade de Ensino,Município do Curso,Estado,Concluintes Inscritos,Concluintes Participantes,Conceito Enade (Contínuo),Conceito Enade (Faixa)
2014,702,MATEMÁTICA (LICENCIATURA),4098,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA",,,ALEGRETE,RS,5,5,2.61556683389665,3.0
2014,702,MATEMÁTICA (LICENCIATURA),4098,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA",,,JULIO DE CASTILHOS,RS,11,11,1.5155993259437,2.0
2014,702,MATEMÁTICA (LICENCIATURA),4098,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA",,,SANTA ROSA,RS,13,13,3.36076598640704,4.0
2014,702,MATEMÁTICA (LICENCIATURA),4358,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS",,,INCONFIDENTES,MG,29,29,3.56912000205041,4.0
2014,702,MATEMÁTICA (LICENCIATURA),4492,FACULDADE PASCHOAL DANTAS,,,SAO PAULO,SP,3,2,1.22176600700931,2.0
2014,702,MATEMÁTICA (LICENCIATURA),4502,FACULDADES INTEGRADAS CAMPO-GRANDENSES,,,RIO DE JANEIRO,RJ,112,91,1.51065813195449,2.0
2014,702,MATEMÁTICA (LICENCIATURA),4503,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,,,AMARGOSA,BA,24,23,3.03927345414371,4.0
2014,702,MATEMÁTICA (LICENCIATURA),4504,FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,,,DOURADOS,MS,20,17,2.52291844292049,3.0
2014,702,MATEMÁTICA (LICENCIATURA),4786,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",,,PARAISO DO TOCANTINS,TO,12,12,1.63388133441563,2.0
2014,702,MATEMÁTICA (LICENCIATURA),4786,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",,,PALMAS,TO,8,7,3.66576014676697,4.0
2014,702,MATEMÁTICA (LICENCIATURA),4793,FACULDADES INTEGRADAS DE ITARARÉ,,,ITARARE,SP,24,24,2.26703948260831,3.0
2014,702,MATEMÁTICA (LICENCIATURA),4925,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,,,SANTO ANDRE,SP,10,8,5.0,5.0
2014,702,MATEMÁTICA (LICENCIATURA),5036,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",,,CAMBORIU,SC,10,10,2.93668025866381,3.0
2014,702,MATEMÁTICA (LICENCIATURA),5036,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",,,CONCORDIA,SC,12,11,3.23179596873458,4.0
